EnsembleID	GeneSymbol/Users/jimmiinguyen/Downloads/GSE131671_LungBasal.coding.qn.txt	SJW-RNA_CRE-2	SJW-RNA_CRE-3	SJW-RNA_WT-1	SJW-RNA_WT-2	SJW-RNA_WT-3
ENSMUSG00000009356	Lpo	0.10684225	1.022811667	0.012043258	0.08564215	0.060783167
ENSMUSG00000015474	Ppt2	12.45411667	10.33526167	11.50233333	9.199016667	9.245726667
ENSMUSG00000078816	Prkcg	0.786530667	1.098141667	1.106638333	1.016601667	1.09988
ENSMUSG00000078812	Eif5a	403.7255	481.8528333	235.991	335.1436667	489.8981667
ENSMUSG00000015478	Rnf5	17.861	17.76648333	18.47031667	17.40603333	18.3813
ENSMUSG00000048787	Dcun1d3	5.337985	4.902898333	3.954993333	5.706258333	4.491531667
ENSMUSG00000050296	Abca12	1.999711667	0.3613925	0.1392745	4.635436667	1.43547
ENSMUSG00000027405	Nop56	107.2881667	141.9721667	55.08373333	114.1615	145.7263333
ENSMUSG00000050295	Foxc1	2.228076667	2.887168333	3.665625	2.652328333	3.28387
ENSMUSG00000050299	Gm9843	62.61573333	73.46175	44.70476667	47.27048333	52.00875
ENSMUSG00000041130	Zfp598	16.0559	15.64393333	17.2663	16.26761667	16.12481667
ENSMUSG00000041133	Smc1a	35.0249	36.02698333	35.47261667	30.10653333	36.3616
ENSMUSG00000041132	N4bp2l1	1.242728333	1.232353333	3.213371667	1.21492	0.942619833
ENSMUSG00000041135	Ripk2	4.657493333	3.786808333	4.805976667	4.196306667	4.151813333
ENSMUSG00000016921	Srsf6	62.79923333	61.7193	52.88648333	66.0029	68.68813333
ENSMUSG00000058600	Rpl30	1132.741667	892.5693333	494.3955	771.3221667	1025.173667
ENSMUSG00000055401	Fbxo6	25.06003333	27.83956667	26.4305	22.38853333	22.70386667
ENSMUSG00000055407	Map6	11.097	9.704976667	3.67883	9.22848	8.390933333
ENSMUSG00000095562	Gm21887	1.340598333	1.39754	0.604925	1.029355	0.441519333
ENSMUSG00000031403	Dkc1	23.48701667	29.33903333	12.8611	23.76973333	41.39101667
ENSMUSG00000040771	Oard1	8.567458333	9.504373333	14.53081667	9.350846667	12.74425
ENSMUSG00000012126	Ubxn11	2.07195	2.652328333	2.999633333	3.609995	1.503578333
ENSMUSG00000012123	Aim1l	6.861795	1.734141667	5.116871667	14.76568333	7.679401667
ENSMUSG00000025269	Apex2	2.732803333	3.42984	2.181141667	3.026218333	3.884888333
ENSMUSG00000025268	Maged2	32.39705	33.32781667	12.38495	28.76558333	25.69441667
ENSMUSG00000025266	Gnl3l	16.30053333	15.69253333	13.47286667	15.03615	15.30685
ENSMUSG00000025265	Fgd1	3.660451667	4.318135	2.682516667	3.405435	4.214695
ENSMUSG00000025264	Tsr2	5.504195	7.083513333	3.242893333	4.121571667	6.674685
ENSMUSG00000025262	Fam120c	1.95812	1.458483333	1.599345	1.836511667	1.413883333
ENSMUSG00000025261	Huwe1	46.84823333	41.99996667	62.76733333	61.47611667	45.809
ENSMUSG00000025260	Hsd17b10	30.65543333	27.8018	25.13365	25.70028333	33.73765
ENSMUSG00000094336	Gm13693	9.128018333	10.33385667	2.177075	6.686115	6.065851667
ENSMUSG00000094338	Hist1h2bl	1.516375	1.436275	0.480538333	0.81761	1.044363333
ENSMUSG00000048439	Nupl2	4.695951667	5.339658333	3.690521667	5.120281667	4.419311667
ENSMUSG00000047205	Dusp18	10.4307	10.97531667	10.34719833	10.42128667	10.88753333
ENSMUSG00000002486	Tchp	5.569305	5.307743333	8.900116667	7.013151667	5.350953333
ENSMUSG00000067786	Nnat	3.243818333	3.050355	3.26206	4.09261	3.755273333
ENSMUSG00000053279	Aldh1a1	9.171398333	3.40075	21.9197	13.39273333	4.125816667
ENSMUSG00000068329	Htra2	43.0923	39.97941667	15.76086667	34.36338333	33.88258333
ENSMUSG00000068328	Aup1	44.87146667	44.13993333	33.54141667	40.29143333	37.95746667
ENSMUSG00000063445	Nmral1	5.90221	7.331913333	2.506086667	4.304093333	8.064951667
ENSMUSG00000070522	Gm6505	3.855341667	4.095125	2.504136667	3.47543	3.043016667
ENSMUSG00000066438	Plekhd1	0.820251333	0.511874333	3.1868	0.562338167	0.520544167
ENSMUSG00000020349	Ppp2ca	24.14446667	26.61358333	24.82576667	25.20648333	27.1219
ENSMUSG00000064145	Arih2	11.97983333	11.95153333	14.73188333	11.7445	12.67318333
ENSMUSG00000020346	Mgat1	24.24136667	26.11935	19.46421667	20.34441667	21.18473333
ENSMUSG00000064141	Zfp69	0.615106333	1.029806667	0.873181833	0.2094175	0.987120667
ENSMUSG00000070461	9230112E08Rik	3.138141667	2.243103333	6.12254	4.08406	2.51033
ENSMUSG00000020340	Cyfip2	1.013328667	0.495557333	0.611572833	0.930653833	0.367694
ENSMUSG00000054728	Phactr1	3.458086667	6.933346667	0.537904667	2.190548333	2.362585
ENSMUSG00000054723	Vmac	4.03635	4.710751667	4.876968333	4.306451667	3.959303333
ENSMUSG00000054720	Lrrc8c	11.30186667	15.65998333	15.21765	15.17251667	18.66903333
ENSMUSG00000079806	Gm21719	0	2.046283333	0	0	0
ENSMUSG00000036748	Cuedc2	24.24948333	26.55973333	10.3688925	16.338	21.16778333
ENSMUSG00000062797	l7Rn6	17.66188333	18.12301667	9.898863333	12.92695	19.25143333
ENSMUSG00000062794	Zfp599	1.539246667	1.45384	1.434321667	1.572566667	1.505256667
ENSMUSG00000062421	Arf2	16.8024	19.13528333	10.28944	15.37315	18.39995
ENSMUSG00000019066	Rab3d	3.044436667	4.090815	18.44101667	5.366668333	4.865626667
ENSMUSG00000035498	Cdcp1	43.32208333	33.53946667	71.5207	74.1153	49.45688333
ENSMUSG00000091460	Gm7808	3.430491667	4.478288333	2.524838333	3.169588333	3.304866667
ENSMUSG00000031918	Mtmr2	17.87461667	18.06926667	20.7665	19.4535	21.546
ENSMUSG00000031916	Cog8	8.705151667	9.144933333	7.920115	8.569598333	9.5061
ENSMUSG00000031917	Nip7	8.747933333	8.169095	5.693706667	6.985688333	10.37782833
ENSMUSG00000031913	Vps4a	11.85	13.0936	12.65866667	11.18728333	11.6708
ENSMUSG00000038637	Lrrc56	0.804577	1.116031667	1.675566667	1.024411667	0.719212833
ENSMUSG00000038633	Degs1	49.87520833	42.95226667	47.61661667	50.52451667	41.16013333
ENSMUSG00000030357	Fkbp4	109.3576667	128.8421667	75.82153333	82.9369	112.4926667
ENSMUSG00000030351	Tspan11	19.76645	23.89346667	2.80105	11.90944167	11.47416667
ENSMUSG00000030353	Tead4	10.26323	9.268408333	8.41355	8.936955	10.170295
ENSMUSG00000030352	Tspan9	57.15085	63.43963333	93.99908333	69.85353333	63.31275
ENSMUSG00000073468	Sft2d1	27.42633333	25.29361667	28.93955	30.57525	27.35341667
ENSMUSG00000035329	Fbxo33	4.180295	4.034945	4.962713333	6.102731667	5.344663333
ENSMUSG00000035325	Sec31a	49.62956667	55.08373333	41.33758333	51.38556667	50.88365
ENSMUSG00000075705	Msrb1	15.4217	16.8059	14.03271667	15.79603333	15.67613333
ENSMUSG00000075704	Txnrd2	5.959018333	7.088698333	6.701851667	6.531301667	5.503556667
ENSMUSG00000075706	Gpx4	171.0955	167.2705	238.0681667	146.8926667	148.156
ENSMUSG00000075701	Vimp	25.67088333	23.461	20.87933333	26.46178333	25.8008
ENSMUSG00000026955	Sapcd2	2.17876	4.874145	1.112018333	2.668291667	4.073791667
ENSMUSG00000026956	Uap1l1	25.8479	21.61521667	28.10795	21.55995833	17.55868333
ENSMUSG00000075702	Selm	9.233073333	10.33780167	3.146401667	5.952791667	7.24707
ENSMUSG00000026958	Dpp7	12.31928333	12.52468333	14.98521667	11.38565	9.711258333
ENSMUSG00000026959	Grin1	0.734915	1.571521667	1.630761667	0.669462333	0.524835167
ENSMUSG00000043061	Tmem18	7.103285	6.668815	8.128928333	7.916623333	7.089826667
ENSMUSG00000043065	Spice1	10.45713333	9.243016667	10.02974167	9.339843333	8.371965
ENSMUSG00000043067	Dpy19l1	20.69395	21.09466667	8.814325	16.9083	20.19105
ENSMUSG00000022257	Laptm4b	35.08883333	30.191925	51.58655	32.61591667	25.20648333
ENSMUSG00000022255	Mtdh	104.0509833	96.21786667	63.11478333	82.3301	83.49793333
ENSMUSG00000022253	Nadk2	5.538575	5.769496667	6.033071667	4.79975	5.659631667
ENSMUSG00000029283	Cdc7	6.466205	7.327048333	3.703443333	6.745625	8.127208333
ENSMUSG00000031007	Atp6ap2	34.44066667	27.50331667	81.18173333	34.25125	29.961
ENSMUSG00000028882	Ppp1r8	17.09898333	18.61808333	11.00705	15.03411667	20.7412
ENSMUSG00000028883	Sema3a	2.925488333	6.382333333	5.757866667	2.710725	6.615151667
ENSMUSG00000028884	Rpa2	8.819366667	11.20141667	6.428495	6.999018333	12.69965
ENSMUSG00000028885	Smpdl3b	3.448813333	3.207685	2.377743333	4.779171667	5.16267
ENSMUSG00000028889	Yrdc	14.89851667	20.13883333	14.30471667	17.00946667	25.90858333
ENSMUSG00000034634	Ly6d	0.468758667	0.247668333	24.16028333	2.87445	1.834408333
ENSMUSG00000029422	Rsrc2	54.66753333	51.30308333	61.87885	59.70933333	53.2164
ENSMUSG00000029427	Zcchc8	6.504043333	7.60929	6.538965	6.382333333	8.021058333
ENSMUSG00000029426	Scarb2	23.14123333	24.8058	43.11185	24.92968333	22.4387
ENSMUSG00000029428	Stx2	7.52946	7.191438333	8.404128333	6.927413333	5.921011667
ENSMUSG00000035585	Tsen34	19.64231667	27.1399	22.46821667	18.76698333	26.61358333
ENSMUSG00000025702	8-Mar	19.7422	16.7603	21.45778333	17.15783333	16.99221667
ENSMUSG00000034981	Parm1	0.280342	0.198918	4.216246667	0.811472	0.5364675
ENSMUSG00000021635	Rad17	8.569598333	8.02534	6.041836667	6.738901667	7.536988333
ENSMUSG00000021636	Marveld2	7.078788333	6.658421667	13.3572	9.504373333	9.321743333
ENSMUSG00000021631	Mrps36-ps1	2.431973333	2.857271667	2.49422	2.599415	3.093541667
ENSMUSG00000021638	Ocln	17.94506667	12.91346667	44.9422	25.58823333	18.63636667
ENSMUSG00000021639	Gtf2h2	9.989155	8.077146667	11.09526667	12.95056667	12.88961667
ENSMUSG00000032673	Prorsd1	6.187965	6.766026667	8.17679	5.931798333	7.896223333
ENSMUSG00000032586	Traip	2.311683333	3.011481667	1.050466667	1.637761667	2.50806
ENSMUSG00000074151	Nlrc5	4.944421667	5.113833333	0.756118167	3.480776667	3.714165
ENSMUSG00000032582	Rbm6	30.57525	22.82121667	39.33403333	32.77208333	26.38643333
ENSMUSG00000074158	9830147E19Rik	1.656648333	1.647016667	1.527435	2.009216667	1.576896667
ENSMUSG00000030888	Rrp8	10.5458	9.748308333	7.01901	9.935846667	11.84145
ENSMUSG00000030880	Polr3e	5.723173333	6.654516667	5.754483333	6.235083333	6.849393333
ENSMUSG00000033985	Tesk2	1.094023333	1.42601	1.142346667	1.254056667	1.375455
ENSMUSG00000033983	Coil	4.583956667	4.823013333	3.008	3.770905	4.89778
ENSMUSG00000044098	Rsbn1	5.0575	5.438391667	6.163543333	5.550541667	5.555923333
ENSMUSG00000075284	Wipf1	9.12416	10.87146667	3.05883	7.046076667	8.696881667
ENSMUSG00000075289	Carns1	1.320625	1.595056667	0.252977	0.921945833	0.9008385
ENSMUSG00000024941	Scyl1	24.33056667	25.31203333	18.95168333	20.50628333	21.98921667
ENSMUSG00000024940	Ltbp3	44.70476667	39.08303333	48.67983333	41.89131667	34.95021667
ENSMUSG00000024943	Smc5	33.84883333	36.3616	20.73138333	28.12513333	26.58243333
ENSMUSG00000024942	Capn1	26.75	27.58151667	19.06713333	24.12223333	24.96381667
ENSMUSG00000024944	Arl2	37.37895	41.76848333	33.64095	29.28975	32.05201667
ENSMUSG00000024947	Men1	14.21656667	15.26831667	10.01476833	11.739	12.50833333
ENSMUSG00000074220	Zfp382	2.676163333	2.805083333	0.805947167	1.417671667	1.616718333
ENSMUSG00000024949	Sf1	86.52956667	108.037	106.9713333	85.17596667	102.4099
ENSMUSG00000024948	Map4k2	9.169543333	9.285358333	10.63886667	9.432286667	8.630236667
ENSMUSG00000079614	Seh1l	17.58015	19.17195	25.2768	18.08943333	21.50948333
ENSMUSG00000059534	Uqcr10	136.3461667	139.4935	160.4121667	125.4753333	142.8473333
ENSMUSG00000051726	Kcnf1	0.404259	0.800137167	0.217580667	0.645350833	1.084871667
ENSMUSG00000051721	BC068281	2.173391667	1.723646667	2.112198333	2.34958	2.1682
ENSMUSG00000024146	Cript	30.0113	27.73351667	27.15048333	27.97486667	27.8018
ENSMUSG00000005615	Pcyt1a	8.983446667	8.854535	13.75583333	8.553595	8.625085
ENSMUSG00000005610	Eif4g2	245.5343333	277.3561667	181.4953333	228.1856667	272.992
ENSMUSG00000051098	Mblac2	2.125933333	1.273131667	2.236151667	1.784246667	1.786996667
ENSMUSG00000026547	Tagln2	174.193	255.1256667	166.789	149.4305	232.6405
ENSMUSG00000026546	Ccdc19	0.250591333	0.04025975	1.031943333	0.366773	0.109576667
ENSMUSG00000003617	Cp	51.96851667	83.14758333	101.3759333	40.35925	57.58108333
ENSMUSG00000033237	Arid2	11.66741667	12.51913333	12.75868333	11.71673333	11.03873333
ENSMUSG00000002059	Rab34	55.2994	57.47346667	28.89196667	39.34585	41.0455
ENSMUSG00000002058	Unc119	12.97098333	14.42555	11.06353333	11.13006667	10.72251667
ENSMUSG00000002057	Foxn1	2.809993333	2.04279	1.480258333	3.761191667	2.4845
ENSMUSG00000033233	Trim45	2.446773333	2.373743333	1.977881667	2.947595	2.530288333
ENSMUSG00000002055	Spag5	16.12481667	20.56363333	4.778345	13.52341667	18.71601667
ENSMUSG00000002052	Supt6	30.72228333	30.05136667	26.1026	28.96796667	25.0487
ENSMUSG00000046062	Ppp1r15b	18.70638333	18.74528333	23.86741667	20.4185	21.4741
ENSMUSG00000016356	Col20a1	2.177701667	1.10914	5.954535	2.553735	1.017749833
ENSMUSG00000064302	Clasp1	11.05248333	11.02818333	9.105833333	12.5317	10.98318333
ENSMUSG00000064307	Lrrc51	3.253256667	2.977235	5.036938333	3.524025	2.52932
ENSMUSG00000078139	AK157302	2.253143333	2.401581667	2.186426667	2.04071	2.345756667
ENSMUSG00000078134	Gm12355	8.43632	10.48758333	6.838155	9.43698	12.97098333
ENSMUSG00000014195	Dnajc7	103.7360333	98.55815	106.4401667	112.6185	95.71336667
ENSMUSG00000004446	Bid	21.82335	25.8731	11.8725	19.89101667	21.26661667
ENSMUSG00000001508	Sgca	0.550775667	3.079616667	0.04896125	0.313247	0.558970333
ENSMUSG00000001504	Irx2	18.92286667	20.85146667	27.66131667	20.49948333	18.83596667
ENSMUSG00000001506	Col1a1	92.3671	80.9373	22.67381667	48.58715	52.09421667
ENSMUSG00000001507	Itga3	270.053	219.6481667	178.8165	322.779	275.8016667
ENSMUSG00000096775	Gm5796	0.947887833	0.714468333	0.112055833	1.056055	0.860336
ENSMUSG00000017550	Atad5	4.977836667	5.409385	2.479585	4.163273333	4.933376667
ENSMUSG00000029007	Agtrap	8.627351667	9.220786667	11.42258333	7.804276667	7.984833333
ENSMUSG00000030768	Disp1	3.50884	3.76222	3.123293333	3.729621667	3.330081667
ENSMUSG00000029005	Draxin	2.26505	2.713363333	0.428429833	1.142346667	1.31718
ENSMUSG00000029004	Kmt2e	11.29201667	9.815585	22.97033333	12.30915	9.620118333
ENSMUSG00000029003	Mad2l2	7.87203	9.98051	13.38348333	7.384805	10.010745
ENSMUSG00000010021	Kif19a	0.652432333	0.249525833	4.504976667	0.842332333	1.151116667
ENSMUSG00000010025	Aldh3a2	23.05833333	20.64761667	22.32121667	19.97620833	19.67503333
ENSMUSG00000029001	Fbxo44	2.563436667	3.174648333	9.930175	2.522931667	2.526735
ENSMUSG00000030766	Arhgap17	9.891403333	8.780475	7.647221667	9.546958333	9.128018333
ENSMUSG00000038518	Jarid2	11.52188333	9.077696667	9.677611667	10.63978333	9.832421667
ENSMUSG00000030760	Acer3	13.87883333	14.08958333	26.24838333	15.22853333	16.398
ENSMUSG00000030761	Myo7a	3.930661667	3.753053333	2.807001667	4.114311667	2.776475
ENSMUSG00000030763	Lcmt1	12.71798333	13.21276667	8.085451667	9.598458333	11.21055
ENSMUSG00000065954	Tacc1	3.833063333	4.659915	1.714511667	2.91349	3.682258333
ENSMUSG00000010651	Acaa1b	2.364328333	2.148606667	6.957445	2.615375	2.383938333
ENSMUSG00000054967	Zfp647	1.969326667	2.340413333	0.707095833	1.741838333	1.754671667
ENSMUSG00000021504	B4galt7	10.2053	9.788753333	7.941093333	10.44616667	8.901865
ENSMUSG00000041308	Sntb2	8.575626667	10.2053	10.26809	8.633688333	9.269963333
ENSMUSG00000041303	Gtf3c3	8.739378333	8.471446667	9.34431	9.704976667	9.905786667
ENSMUSG00000041301	Cftr	1.100335	1.211906667	1.413883333	1.251023333	1.029806667
ENSMUSG00000022014	Epsti1	0.339416833	0.674139333	1.177895	0.506885667	0.873697333
ENSMUSG00000022016	Akap11	10.14984167	9.26152	14.25298333	10.41728667	7.783216667
ENSMUSG00000022010	Tsc22d1	171.5076667	117.1651667	125.4753333	128.1533333	100.8437
ENSMUSG00000022013	Dnajc15	16.16298333	19.55796667	15.05453333	11.65671667	20.62403333
ENSMUSG00000022019	Tdrd3	5.570796667	7.138043333	7.565733333	5.784943333	5.76455
ENSMUSG00000055612	Cdca7	8.590565	10.58005	4.539745	7.640185	12.27548333
ENSMUSG00000020528	Prpsap2	10.70753333	12.0984	8.831035	9.363761667	11.65068333
ENSMUSG00000020527	Myo19	6.338715	6.79892	3.657156667	7.40205	7.065868333
ENSMUSG00000020526	Znhit3	7.794018333	9.871905833	5.58925	6.975881667	11.14591667
ENSMUSG00000020525	Ppm1d	6.480856667	6.579243333	5.103075	5.276216667	5.160805
ENSMUSG00000020523	Fam114a2	18.38836667	18.78478333	23.35776667	19.02706667	16.6493
ENSMUSG00000020522	Mfap3	9.921065	9.195211667	11.59618333	10.440285	8.684118333
ENSMUSG00000020521	Rnft1	17.09196667	17.6573	16.07808333	18.14051667	16.98131667
ENSMUSG00000020520	Galnt10	6.855028333	7.618153333	8.865705	6.624535	6.74343
ENSMUSG00000028759	Hp1bp3	65.95095	76.83795	95.71336667	71.57141667	76.3991
ENSMUSG00000013646	Sh3bp5l	18.37331667	16.2918	14.70336667	23.5697	19.38276667
ENSMUSG00000057614	Gnai1	4.753821667	4.981098333	14.00503333	5.070633333	7.550858333
ENSMUSG00000028718	Stil	3.415596667	6.048703333	1.817535	3.383315	5.428233333
ENSMUSG00000028719	Cmpk1	17.71118333	19.48651667	28.23516667	20.35008333	25.1904
ENSMUSG00000078552	Dcdc2b	0.938010333	0.44922	2.217451667	0.643596833	0.483003167
ENSMUSG00000028710	Atpaf1	8.639803333	7.243586667	8.549893333	8.761478333	8.44663
ENSMUSG00000028713	Cyp4b1	1.121085	0.847946667	13.63125	1.837691667	0.655001667
ENSMUSG00000025544	Tm9sf2	58.8888	46.8293	106.2408333	73.14865	59.17836667
ENSMUSG00000025545	Clybl	4.337028333	4.547596667	12.92111667	3.884888333	6.806271667
ENSMUSG00000052395	Rft1	8.583776667	7.785611667	8.966038333	9.329721667	8.796905
ENSMUSG00000052397	Ezr	186.0353333	143.0365	213.8193333	169.0861667	154.4418333
ENSMUSG00000035776	Cd99l2	16.76326667	14.8345	30.57525	21.19511667	18.25105
ENSMUSG00000039178	Tbc1d19	5.201903333	5.468071667	5.494573333	5.196646667	4.896421667
ENSMUSG00000039179	Tekt5	0.4436615	0.390224167	1.536188333	0.1929635	0.365031167
ENSMUSG00000067629	Syngap1	2.892245	3.438098333	2.10787	2.36527	2.520101667
ENSMUSG00000021737	Psmd6	42.69198333	43.0923	29.44725	39.80168333	49.38978333
ENSMUSG00000021731	Mrps30	11.65671667	10.71195	8.82133	10.21436167	12.0308
ENSMUSG00000021733	Slc4a7	36.68365	44.19601667	60.68975	39.65566667	46.63235
ENSMUSG00000021732	Fgf10	0.8181635	0.825798667	0.6581565	0.852832167	1.024411667
ENSMUSG00000021738	Atxn7	3.616726667	3.953913333	7.122625	4.446301667	4.301965
ENSMUSG00000035873	Pawr	16.42071667	16.69105	34.58915	20.09421667	20.87053333
ENSMUSG00000035877	Zhx3	2.035863333	1.729068333	1.857133333	2.044486667	1.679476667
ENSMUSG00000008090	Fgfrl1	7.577968333	9.04398	10.08863667	8.383058333	8.184295
ENSMUSG00000070319	Eif3g	69.67895	79.40418333	49.70211667	62.09736667	77.31075
ENSMUSG00000022836	Mylk	6.863728333	7.372133333	1.252505	4.645925	4.752276667
ENSMUSG00000022833	Ccdc14	3.947428333	4.109125	1.903881667	3.23811	3.198971667
ENSMUSG00000039824	Myl6b	2.822228333	3.598175	1.04323	2.334715	3.494215
ENSMUSG00000039826	Trub2	8.223998333	10.33104167	8.460218333	8.428036667	10.92615
ENSMUSG00000039828	Wdr70	10.08411667	9.27321	5.884396667	8.53789	9.60358
ENSMUSG00000051671	Coa6	6.356168333	6.359835	4.703353333	5.296935	5.466731667
ENSMUSG00000020069	Hnrnph3	27.1103	29.70815	44.1604	28.77638333	29.61011667
ENSMUSG00000020063	Sirt1	2.960623333	3.441028333	5.748398333	3.441028333	3.913596667
ENSMUSG00000063632	Sox11	1.600581667	2.084366667	0.622818667	2.349886667	3.388581667
ENSMUSG00000020064	Herc4	13.56958333	11.1982	15.52053333	14.9182	13.08053333
ENSMUSG00000030960	Mettl10	12.76126667	16.86436667	13.29508333	14.01506667	16.87036667
ENSMUSG00000030966	Trim21	2.565431667	2.684296667	4.451136667	2.375213333	2.549061667
ENSMUSG00000030967	Zranb1	12.15578333	10.41927	14.49508333	12.46188333	11.08031667
ENSMUSG00000030965	Fam175b	12.3028	11.81648333	12.24825	13.88201667	11.81888333
ENSMUSG00000070699	Sars2	3.149223333	4.2369	1.828653333	3.167075	4.698353333
ENSMUSG00000048307	Ankrd46	17.93941667	17.88486667	15.56403333	16.83241667	15.40291667
ENSMUSG00000070697	Utp3	24.4497	29.36113333	21.67946667	22.50265	29.65321667
ENSMUSG00000070691	Runx3	0.200232833	1.395711667	0.065907433	0.128513333	1.577735
ENSMUSG00000004100	Ppan	24.03905	29.11471667	11.10866667	24.59373333	33.03053333
ENSMUSG00000096433	Gm4944	3.642533333	2.98411	4.395523333	4.181173333	3.384816667
ENSMUSG00000033703	Fuk	5.3268	4.57639	6.672036667	6.334168333	5.506701667
ENSMUSG00000033701	Acbd6	12.10461667	13.37548333	13.05848333	11.42028333	13.67228333
ENSMUSG00000033706	Smyd5	16.56103333	21.73215	8.571486667	14.1286	16.66361667
ENSMUSG00000033705	Stard9	3.069285	3.480258333	1.59135	2.951238333	2.676163333
ENSMUSG00000037469	Papl	0.233350417	1.758315	1.03585	0.188545167	0.191855833
ENSMUSG00000037466	4930427A07Rik	3.63097	6.164891667	2.33673	4.245531667	6.624535
